Y,V1,V2,V3,V4,V5,V6,V7,V8,V9
" 11,065 ",54.2,0.045192,0.291732,0.055229,100.667,100.9386,0.01,0.599683,1.563095
" 8,705 ",54.2,0.045192,0.291732,0.055229,100.3587,100.6229,0.01,0.599683,1.563095
" 14,487 ",54.2,0.045192,0.291732,0.055229,100.1084,100.3304,0.01,0.599683,1.563095
" 12,550 ",48.3,0.034779,0.273164,0.045261,99.978,100.0928,0.01,0.599517,0.77865
" 11,769 ",48.3,0.034779,0.273164,0.045261,99.94258,99.91575,0.01,0.599517,0.77865
" 12,037 ",48.3,0.034779,0.273164,0.045261,99.97385,99.78886,0.01,0.599517,0.77865
" 10,742 ",54,0.041115,0.306893,0.060377,100.0166,99.6906,0.03,0.575152,-0.033512
" 8,052 ",54,0.041115,0.306893,0.060377,100.0162,99.60236,0.03,0.575152,-0.033512
" 12,500 ",54,0.041115,0.306893,0.060377,99.91155,99.4991,0.03,0.575152,-0.033512
" 8,613 ",52.1,0.065486,0.314682,0.072635,99.72948,99.36855,0.04,0.569437,-0.373814
" 9,185 ",52.1,0.065486,0.314682,0.072635,99.51274,99.21474,0.04,0.569437,-0.373814
" 12,591 ",52.1,0.065486,0.314682,0.072635,99.3133,99.04707,0.04,0.569437,-0.373814
" 10,642 ",49.1,0.071414,0.261437,0.085037,99.12618,98.88345,0,0.581323,-0.414693
" 8,772 ",49.1,0.071414,0.261437,0.085037,98.98277,98.74268,0,0.581323,-0.414693
" 8,521 ",49.1,0.071414,0.261437,0.085037,98.87852,98.64287,0,0.581323,-0.414693
" 13,022 ",51.7,0.063238,0.276152,0.073899,98.83382,98.59811,0,0.595199,-0.580264
" 10,247 ",51.7,0.063238,0.276152,0.073899,98.93934,98.61287,0,0.595199,-0.580264
" 9,817 ",51.7,0.063238,0.276152,0.073899,99.08233,98.67616,0,0.595199,-0.580264
" 10,102 ",52.7,0.092571,0.268783,0.114211,99.19484,98.76792,0.04,0.599283,-0.617051
" 7,777 ",52.7,0.092571,0.268783,0.114211,99.27581,98.86641,0.04,0.599283,-0.617051
" 9,262 ",52.7,0.092571,0.268783,0.114211,99.26676,98.96014,0.04,0.599283,-0.617051
" 7,907 ",53.2,0.135419,0.245127,0.102414,99.23021,99.05667,0.01,0.606846,0.110147
" 6,565 ",53.2,0.135419,0.245127,0.102414,99.2644,99.17264,0.01,0.606846,0.110147
" 7,682 ",53.2,0.135419,0.245127,0.102414,99.37479,99.31258,0.01,0.606846,0.110147
" 7,621 ",55.7,0.174442,0.255803,0.120071,99.53421,99.47272,0.05,0.616061,0.513228
" 7,005 ",55.7,0.174442,0.255803,0.120071,99.73749,99.64902,0.05,0.616061,0.513228
" 9,709 ",55.7,0.174442,0.255803,0.120071,99.93639,99.82618,0.05,0.616061,0.513228
" 10,860 ",56.4,0.153059,0.230935,0.098215,100.1076,99.98846,0.06,0.594065,1.225881
" 8,246 ",56.4,0.153059,0.230935,0.098215,100.2422,100.1296,0.06,0.594065,1.225881
" 8,977 ",56.4,0.153059,0.230935,0.098215,100.3164,100.2446,0.06,0.594065,1.225881
" 7,886 ",58.5,0.155518,0.229339,0.106493,100.3453,100.3314,0.05,0.630398,1.807422
" 7,509 ",58.5,0.155518,0.229339,0.106493,100.3559,100.3794,0.05,0.630398,1.807422
" 8,374 ",58.5,0.155518,0.229339,0.106493,100.3579,100.3938,0.05,0.630398,1.807422
" 8,405 ",53.5,0.17724,0.217104,0.130482,100.3457,100.3732,0.04,0.645452,1.64547
" 6,955 ",53.5,0.17724,0.217104,0.130482,100.3191,100.3195,0.04,0.645452,1.64547
" 7,589 ",53.5,0.17724,0.217104,0.130482,100.2723,100.246,0.04,0.645452,1.64547
 128 ,60.9,0.217278,0.209237,0.138212,100.2324,100.1667,0.04,0.644409,1.694077
 270 ,60.9,0.217278,0.209237,0.138212,100.1763,100.0945,0.04,0.644409,1.694077
 605 ,60.9,0.217278,0.209237,0.138212,100.1415,100.0491,0.04,0.644409,1.694077
" 3,170 ",53.5,0.205313,0.216985,0.133295,100.1407,100.0403,0.06,0.654128,1.906989
" 2,510 ",53.5,0.205313,0.216985,0.133295,100.1492,100.0688,0.06,0.654128,1.906989
" 3,492 ",53.5,0.205313,0.216985,0.133295,100.1413,100.1274,0.06,0.654128,1.906989
" 3,417 ",57.9,0.214182,0.20719,0.139471,100.1641,100.2025,0.05,0.641179,2.159906
" 3,491 ",57.9,0.214182,0.20719,0.139471,100.2161,100.2736,0.05,0.641179,2.159906
" 5,954 ",57.9,0.214182,0.20719,0.139471,100.2948,100.3296,0.05,0.641179,2.159906
" 6,673 ",60.4,0.201075,0.215241,0.135428,100.3449,100.362,0.03,0.650762,2.257715
" 5,802 ",60.4,0.201075,0.215241,0.135428,100.3682,100.3717,0.03,0.650762,2.257715
" 9,174 ",60.4,0.201075,0.215241,0.135428,100.3735,100.368,0.03,0.650762,2.257715
" 12,250 ",57.9,0.190137,0.216449,0.151122,100.3767,100.3573,0.05,0.653777,2.203372
" 9,098 ",57.9,0.190137,0.216449,0.151122,100.3839,100.3469,0.05,0.653777,2.203372
" 10,675 ",57.9,0.190137,0.216449,0.151122,100.4121,100.3435,0.05,0.653777,2.203372
" 12,416 ",58.4,0.185873,0.2116,0.165212,100.4222,100.3395,0.04,0.640536,2.190386
" 9,673 ",58.4,0.185873,0.2116,0.165212,100.3977,100.3239,0.04,0.640536,2.190386
" 10,833 ",58.4,0.185873,0.2116,0.165212,100.3695,100.2875,0.04,0.640536,2.190386
" 7,328 ",53,0.174724,0.211848,0.133752,100.3111,100.2282,0.06,0.627372,1.954168
" 7,584 ",53,0.174724,0.211848,0.133752,100.2487,100.1464,0.06,0.627372,1.954168
" 11,266 ",53,0.174724,0.211848,0.133752,100.226,100.0614,0.06,0.627372,1.954168
" 14,048 ",55.3,0.176739,0.175409,0.1436,100.2366,99.98542,0.03,0.639417,1.851319
" 7,491 ",55.3,0.176739,0.175409,0.1436,100.2584,99.92273,0.03,0.639417,1.851319
" 8,740 ",55.3,0.176739,0.175409,0.1436,100.2901,99.879,0.03,0.639417,1.851319
" 12,687 ",56.3,0.202668,0.158297,0.173014,100.3061,99.8558,0.05,0.676034,1.782753
" 5,957 ",56.3,0.202668,0.158297,0.173014,100.3307,99.85629,0.05,0.676034,1.782753
" 8,590 ",56.3,0.202668,0.158297,0.173014,100.4223,99.88364,0.05,0.676034,1.782753
" 12,302 ",56.6,0.170601,0.147501,0.148431,100.519,99.93129,0.02,0.657716,2.062548
" 8,121 ",56.6,0.170601,0.147501,0.148431,100.5944,99.9868,0.02,0.657716,2.062548
" 8,932 ",56.6,0.170601,0.147501,0.148431,100.6791,100.0435,0.02,0.657716,2.062548
" 9,901 ",55.7,0.252722,0.153889,0.214287,100.7616,100.0956,0.05,0.675732,2.184996
" 6,565 ",55.7,0.252722,0.153889,0.214287,100.8332,100.1455,0.05,0.675732,2.184996
" 11,677 ",55.7,0.252722,0.153889,0.214287,100.9001,100.1983,0.05,0.675732,2.184996
